"schema_version","card_id","source_title","source_refs","category","subtopic","card_type","concept","front","answer","condition","result","symbolic_rule","example_input","example_output","tags"
"1.0","SS2-018","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","ayogavāha","enumeration","ayogavāha","Name the five ayogavāha and where each is produced.","Visarga (ḥ, kaṇṭhya breath), Anusvāra (ṃ, nāsikā), Anunāsika/candrabindu (nasalized vowel), Jihvāmūlīya (root of tongue, before ka/kha), Upadhmānīya (labial breath, before pa/pha)","","","","","","stage2|phonetics|ayogavāha|visarga|anusvāra"
"1.0","SS2-019","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","vowel_length","enumeration","mātrā","What are the three vowel lengths and their mātrā counts?","Hrasva (short, 1 mātrā), Dīrgha (long, 2 mātrā), Pluta (protracted, 3 mātrā, chiefly Vedic)","","","","","","stage2|phonetics|vowel-length|mātrā"
"1.0","SS2-020","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","vowel_length","classification","hrasva-dīrgha","Which simple vowels are hrasva and which are dīrgha?","Hrasva: a, i, u, ṛ, ḷ. Dīrgha: ā, ī, ū, ṝ (ḷ has no attested dīrgha). The sandhyakṣara e, ai, o, au are always dīrgha (2 mātrā).","","","","","","stage2|phonetics|vowel-length|classification"
"1.0","SS2-021","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","accent","enumeration","udātta-anudātta-svarita","Name the three Vedic vowel accents and where each lives in pitch.","Udātta (raised — higher pitch), Anudātta (not-raised — lower pitch), Svarita (mixed — a fall from udātta to anudātta within the syllable). Central to Kṛṣṇa-Yajurveda recitation; developed in Stage 19 (Svara-Vidyā).","","","","","","stage2|phonetics|accent|udātta|anudātta|svarita|xref-stage19"
"1.0","SS2-022","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","savarṇa","definition","savarṇa","Define savarṇa. Which pairs of vowels are savarṇa to each other?","Savarṇa = 'of the same class': identical sthāna and identical ābhyantara-prayatna. Vowel pairs: a↔ā, i↔ī, u↔ū, ṛ↔ṝ, ḷ↔ḹ. This is the condition that fires Savarṇa-dīrgha sandhi.","","","","","","stage2|phonetics|savarṇa|sandhi-condition"
"1.0","SS2-023","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","vowel_grades","classification","guṇa-vowels","Which vowels are technically termed guṇa, and what makes them the 'middle grade'?","a, e, o. Guṇa is the middle strength-grade of a vowel; e is the guṇa of i/ī, o of u/ū, ar of ṛ/ṝ, al of ḷ.","","","","","","stage2|phonetics|vowel-grade|guṇa"
"1.0","SS2-024","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","vowel_grades","classification","vṛddhi-vowels","Which vowels are technically termed vṛddhi, and how do they relate to guṇa?","ā, ai, au. Vṛddhi is the strongest grade — one step beyond guṇa. ā strengthens a; ai strengthens e (i/ī-line); au strengthens o (u/ū-line); ār strengthens ar (ṛ-line).","","","","","","stage2|phonetics|vowel-grade|vṛddhi"
"1.0","SS2-025","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","enumeration","prayatna","Name the two kinds of prayatna (effort) and what each governs.","Ābhyantara (internal) — the manner of contact inside the mouth. Bāhya (external) — voicing and aspiration (śvāsa/nāda, alpaprāṇa/mahāprāṇa).","","","","","","stage2|phonetics|prayatna"
"1.0","SS2-026","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","definition","spṛṣṭam","What is spṛṣṭa ābhyantara prayatna and which letters use it?","'Fully contacted' — the point of articulation is completely touched. Used for the 25 sparśa consonants.","","","","","","stage2|phonetics|prayatna|spṛṣṭa"
"1.0","SS2-027","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","definition","īṣat-spṛṣṭam","What is īṣat-spṛṣṭa and which letters use it?","'Slightly contacted' — near-contact. Used for the four antaḥstha (ya, ra, la, va).","","","","","","stage2|phonetics|prayatna|īṣat-spṛṣṭa"
"1.0","SS2-028","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","definition","īṣat-vivṛtam","What is īṣat-vivṛta and which letters use it?","'Slightly open' — a narrow gap that produces friction. Used for the four ūṣman (śa, ṣa, sa, ha).","","","","","","stage2|phonetics|prayatna|īṣat-vivṛta"
"1.0","SS2-029","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","definition","vivṛtam","What is vivṛta and which letters use it?","'Open' — no contact. Used for the svaras (vowels), which flow unobstructed.","","","","","","stage2|phonetics|prayatna|vivṛta"
"1.0","SS2-030","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","prayatna","definition","saṃvṛtam","What is saṃvṛta and which single sound uses it?","'Tightened / contracted' — a uniquely narrowed vowel effort applied only to the short a in ordinary (laukika) speech. The 'a' in isolation is vivṛta; in words it becomes saṃvṛta.","","","","","","stage2|phonetics|prayatna|saṃvṛta|short-a"
"1.0","SS2-031","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","voicing","contrast","ghoṣa-aghoṣa","What distinguishes ghoṣa (soft) from aghoṣa (hard) consonants?","The vocal cords vibrate for ghoṣa (voiced) and do not vibrate for aghoṣa (voiceless).","","","","","","stage2|phonetics|voicing"
"1.0","SS2-032","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","voicing","classification","ghoṣa-list","Which letters are ghoṣa (soft/voiced)?","The 3rd, 4th, and 5th letters of each varga, plus the antaḥstha (ya, ra, la, va) and ha.","","","","","","stage2|phonetics|voicing|ghoṣa-list"
"1.0","SS2-033","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","voicing","classification","aghoṣa-list","Which letters are aghoṣa (hard/voiceless)?","The 1st and 2nd letters of each varga, plus the sibilants śa, ṣa, sa.","","","","","","stage2|phonetics|voicing|aghoṣa-list"
"1.0","SS2-034","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","aspiration","definition","mahāprāṇa","What is mahāprāṇa, which letters carry it, and what is its exception?","'Heavy breath' — a strong outflow of air past the point of articulation. The 2nd and 4th of each varga and the four ūṣman. Exception: ha is mahāprāṇa but ghoṣa (soft), which is a commonly tested pair.","","","","","","stage2|phonetics|aspiration|mahāprāṇa|ha-exception"
"1.0","SS2-035","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","phonetics","aspiration","definition","alpaprāṇa","What is alpaprāṇa and which letters carry it?","'Light breath' — minimal outward air flow. The 1st, 3rd, and 5th of each varga, plus the four antaḥstha.","","","","","","stage2|phonetics|aspiration|alpaprāṇa"
"1.0","SS2-036","Sanskrit School - Stage 2","02-varna-vidya/theory.md","mantra_shastra","bīja_anatomy","definition","bīja_architecture","Every bīja follows one architecture. What are its three components and what does each contribute?","(1) Consonant(s) — the form / sthāna of the energy; (2) Vowel — the life-force (usually ī for śakti-bījas); (3) Anusvāra (ṃ) — the seal, where sound collapses into the point (bindu) and then silence.","","","","","","stage2|mantra-shastra|bīja|architecture"
"1.0","SS2-037","Sanskrit School - Stage 2","02-varna-vidya/theory.md","mantra_shastra","bīja_anatomy","mapping","krīṃ","Dissect krīṃ letter-by-letter (Kālī's bīja).","ka (kaṇṭha, ākāśa) — the first impact of consciousness; ra (mūrdhan, agni) — fire that transforms; ī (tālu) — sustained śakti; ṃ (nāsikā, bindu) — seal into silence.","","","","","","stage2|mantra-shastra|bīja|krīṃ|kali"
"1.0","SS2-038","Sanskrit School - Stage 2","02-varna-vidya/theory.md","mantra_shastra","bīja_anatomy","contrast","krīṃ-vs-klīṃ","Krīṃ and klīṃ differ by one letter. Which letter, which sthāna-shift, and how does it change the deity?","ra (mūrdhan / agni) → la (danta / āpas). Fire → earth. Krīṃ (Kālī) burns and liberates; klīṃ (Kāma) grounds and attracts. One sthāna-shift, entirely different function.","","","","","","stage2|mantra-shastra|bīja|krīṃ|klīṃ|ra-la"
"1.0","SS2-039","Sanskrit School - Stage 2","02-varna-vidya/theory.md","mantra_shastra","bīja_anatomy","mapping","aham","The word 'aham' is said to hold the entire alphabet. How?","a — the first varṇa (first svara); ha — the last consonant (ūṣman, kaṇṭha); ṃ — the bindu where sound dissolves. First → last → seal. Saying 'aham' voices the entire varṇamālā in one syllable.","","","","","","stage2|mantra-shastra|bīja|aham|varṇamālā"
"1.0","SS2-040","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","definition","māheśvarasūtrāṇi","What are the Māheśvara Sūtras and how many are they?","The 14 aphorisms said to have issued from Śiva's ḍamaru at the end of his tāṇḍava; received by Pāṇini as the ordered encoding of every Sanskrit phoneme, and the foundation for pratyāhāra abbreviations.","","","","","","stage2|paninian|maheśvara-sūtras"
"1.0","SS2-041","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","definition","it","What is an 'it' letter?","The final marker consonant of each Māheśvara Sūtra (ṇ, k, ṅ, c, ṭ, ṇ, m, ñ, ṣ, ś, v, y, r, l). It labels the sūtra but is not counted as a phoneme; it is used only to form pratyāhāras.","","","","","","stage2|paninian|it-marker"
"1.0","SS2-042","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","rule","pratyāhāra","State the pratyāhāra rule and give the governing sūtra.","'ādir antyena sahetā' (Pāṇini 1.1.71) — the first sound combined with the last it-marker denotes every phoneme between them (the it itself is excluded). Only forward through the 14 sūtras.","first sound + later it","denotes all phonemes in between (excluding the it)","first + it → all phonemes between","a + c","ac = a, i, u, ṛ, ḷ, e, o, ai, au","stage2|paninian|pratyāhāra|rule"
"1.0","SS2-043","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","mapping","ac","What does the pratyāhāra 'ac' cover?","All vowels: a, i, u, ṛ, ḷ, e, o, ai, au","","","","","","stage2|paninian|pratyāhāra|ac"
"1.0","SS2-044","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","mapping","hal","What does the pratyāhāra 'hal' cover?","All consonants — ha, ya, va, ra, la, ña, ma, ṅa, ṇa, na, jha, bha, gha, ḍha, dha, ja, ba, ga, ḍa, da, kha, pha, cha, ṭha, tha, ca, ṭa, ta, ka, pa, śa, ṣa, sa, ha","","","","","","stage2|paninian|pratyāhāra|hal"
"1.0","SS2-045","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","mapping","ik","What does the pratyāhāra 'ik' cover, and what sandhi is it used for?","i, ī, u, ū, ṛ, ṝ, ḷ — the vowels that undergo Yaṇ-sandhi ('iko yaṇ aci', 6.1.77).","","","","","","stage2|paninian|pratyāhāra|ik"
"1.0","SS2-046","Sanskrit School - Stage 2","02-varna-vidya/bricks.md","paninian_notation","maheśvara_sūtras","mapping","aṇ-ec-yaṇ","What do aṇ, ec, and yaṇ cover?","aṇ = a, i, u (the three basic short vowels). ec = e, o, ai, au (all diphthongs). yaṇ = ya, va, ra, la (the four antaḥstha).","","","","","","stage2|paninian|pratyāhāra|aṇ|ec|yaṇ"
"1.0","SS2-047","Sanskrit School - Stage 2","02-varna-vidya/reference.md","paninian_notation","maheśvara_sūtras","mapping","khar-jaś","What do khar and jaś cover, and where do they fire in sandhi?","khar = all voiceless consonants (1st, 2nd of each varga + śa, ṣa, sa) — the environment for chartva and sakārādeśa. jaś = ja, ba, ga, ḍa, da (the 3rd letters) — the ādeśa of jaśtva ('jhalāṃ jaśo'nte', 8.2.39).","","","","","","stage2|paninian|pratyāhāra|khar|jaś|sandhi-env"
"1.0","SS2-048","Sanskrit School - Stage 3 (Sandhi)","03-sandhi/theory.md","sandhi","overview","definition","sandhi","Define sandhi and give its LEGO reading in this course.","Sandhi (सन्धि) = 'junction'. The phonetic changes that happen when two sounds touch. In the LEGO framing: the 'snap-rules' that transform the joint when two bricks click together.","","","","","","stage3|sandhi|definition"
"1.0","SS2-049","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","overview","enumeration","kārya","Name the three kinds of kārya (sound change) that a sandhi can perform.","Ādeśa (replacement), Āgama (insertion), Lopa (deletion).","","","","","","stage3|sandhi|kārya"
"1.0","SS2-050","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","overview","enumeration","categories","Name the three sandhi categories.","Svara (Ac) sandhi — vowel changes; Vyañjana (Hal) sandhi — consonant changes; Viśeṣa / Visarga sandhi — visarga and special cases.","","","","","","stage3|sandhi|categories"
"1.0","SS2-051","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","overview","condition","compulsory-optional","Where is sandhi compulsory (nitya) and where optional (vikalpa)?","Compulsory within a word, between an upasarga and a dhātu, and inside a samāsa. Optional between separate padas in a vākya.","","","","","","stage3|sandhi|compulsory-vs-optional"
"1.0","SS2-052","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","overview","contrast","utsarga-apavāda","What is the difference between utsarga and apavāda in Pāṇinian grammar?","Utsarga = the general rule. Apavāda = a specific exception that blocks or overrides the general rule for its narrower scope. When both could apply, apavāda wins where its condition holds; utsarga applies everywhere else.","","","","","","stage3|sandhi|utsarga-apavāda"
"1.0","SS2-053","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","savarṇadīrgha","Savarṇadīrgha rule (akaḥ savarṇe dīrghaḥ, 6.1.101).","Two savarṇa (same-class) vowels merge into the long form of that vowel.","simple vowel + savarṇa vowel","the long form of that vowel","V + savarṇa V → dīrgha V","vidyā + ālayaḥ","vidyālayaḥ","stage3|sandhi|svara|savarṇadīrgha"
"1.0","SS2-054","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","guṇa-a-i","Guṇa sandhi (ādguṇaḥ, 6.1.87): a/ā + i/ī.","→ e","a/ā + i/ī","e","a/ā + i/ī → e","rāma + īśvara","rāmeśvara","stage3|sandhi|svara|guṇa"
"1.0","SS2-055","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","guṇa-a-u","Guṇa sandhi: a/ā + u/ū.","→ o","a/ā + u/ū","o","a/ā + u/ū → o","sūrya + udayaḥ","sūryodayaḥ","stage3|sandhi|svara|guṇa"
"1.0","SS2-056","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","guṇa-a-ṛ","Guṇa sandhi: a/ā + ṛ/ṝ.","→ ar","a/ā + ṛ/ṝ","ar","a/ā + ṛ/ṝ → ar","mahā + ṛṣi","maharṣi","stage3|sandhi|svara|guṇa"
"1.0","SS2-057","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","vṛddhi-e-ai","Vṛddhi sandhi (vṛddhireci, 6.1.88): a/ā + e/ai.","→ ai","a/ā + e/ai","ai","a/ā + e/ai → ai","sadā + eva","sadaiva","stage3|sandhi|svara|vṛddhi"
"1.0","SS2-058","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","vṛddhi-o-au","Vṛddhi sandhi: a/ā + o/au.","→ au","a/ā + o/au","au","a/ā + o/au → au","jala + ogha","jalaugha","stage3|sandhi|svara|vṛddhi"
"1.0","SS2-059","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","yaṇ-i","Yaṇ sandhi (iko yaṇ aci, 6.1.77): i/ī before a dissimilar vowel.","→ y","i/ī + dissimilar vowel","y","i/ī + dissimilar V → y + V","iti + api","ityapi","stage3|sandhi|svara|yaṇ"
"1.0","SS2-060","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","yaṇ-u","Yaṇ sandhi: u/ū before a dissimilar vowel.","→ v","u/ū + dissimilar vowel","v","u/ū + dissimilar V → v + V","madhu + ari","madhvari","stage3|sandhi|svara|yaṇ"
"1.0","SS2-061","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","yaṇ-ṛ-ḷ","Yaṇ sandhi: ṛ/ṝ → r; ḷ → l before a dissimilar vowel.","→ r / l","ṛ/ṝ + dissimilar vowel; ḷ + dissimilar vowel","r; l","ṛ/ṝ + dissimilar V → r + V; ḷ + dissimilar V → l + V","pitṛ + ājñā","pitrājñā","stage3|sandhi|svara|yaṇ"
"1.0","SS2-062","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","ayavāyāva-e-o","Ayavāyāva sandhi: e / o before any vowel.","e → ay ; o → av","e/o at pada-anta + following vowel","ay / av + vowel","e/o + V → ay/av + V","hare + e (e.g. hareye) ; viṣṇo + e (viṣṇave)","hareye ; viṣṇave","stage3|sandhi|svara|ayavāyāva"
"1.0","SS2-063","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","ayavāyāva-ai-au","Ayavāyāva sandhi: ai / au before any vowel.","ai → āy ; au → āv","ai/au at pada-anta + following vowel","āy / āv + vowel","ai/au + V → āy/āv + V","śrī + ai (via nai) → nāyaka ; nau + ika","nāyaka ; nāvika","stage3|sandhi|svara|ayavāyāva"
"1.0","SS2-064","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","pūrvarūpa","Pūrvarūpa sandhi (eṅaḥ padāntād ati, 6.1.109): pada-final e/o + a.","→ e/o + avagraha (the a is elided)","e/o at pada-anta + a","the a is elided; e/o remain, marked by avagraha (')","e/o # + a → e/o' ","hare + atra","hare'tra","stage3|sandhi|svara|pūrvarūpa|avagraha"
"1.0","SS2-065","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","lopaḥ-śākalyasya","Lopaḥ Śākalyasya (Śākalya's optional elision): pada-final y/v after a/ā + vowel or soft consonant.","The y/v may be optionally elided.","word-final y/v preceded by a/ā, followed by a vowel or soft consonant","y/v is (optionally) deleted","a/ā + y/v # + V/soft C → a/ā # + V/soft C (optional)","harayaḥ + iha","haraya iha (y elided) / harayaḥ iha","stage3|sandhi|svara|lopaḥ-śākalyasya"
"1.0","SS2-066","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","vowel","rule","pararūpa","Pararūpa sandhi: upasarga ending in a + dhātu beginning with a.","→ a (the para form prevails)","upasarga ending a + dhātu beginning a (restricted: aj / edh cases)","the following a-form prevails","a + a → a (pararūpa, in restricted upasarga-dhātu contexts)","upa + ajati","upajati","stage3|sandhi|svara|pararūpa"
"1.0","SS2-067","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","ukārādeśa-a","Visarga sandhi: aḥ + a.","→ o + avagraha (the following a is elided)","aḥ + a","aḥ becomes o and the a is elided (pūrvarūpa)","aḥ + a → o'","śivaḥ + aham","śivo'ham","stage3|sandhi|visarga|aḥ-a"
"1.0","SS2-068","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","ukārādeśa-voiced","Visarga sandhi: aḥ + any voiced consonant.","→ o","aḥ + ghoṣa vyañjana (3rd/4th/5th of varga, antaḥstha, or h)","aḥ becomes o","aḥ + ghoṣa C → o + ghoṣa C","namaḥ + namaḥ","namo namaḥ","stage3|sandhi|visarga|aḥ-voiced"
"1.0","SS2-069","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","aḥ-vowel","Visarga sandhi: aḥ + any vowel other than a.","The visarga is elided; the a remains.","aḥ + vowel other than a","visarga drops","aḥ + V(≠a) → a + V","arjunaḥ + uvāca","arjuna uvāca","stage3|sandhi|visarga|aḥ-vowel"
"1.0","SS2-070","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","āḥ-voiced","Visarga sandhi: āḥ + vowel or voiced consonant.","The visarga is elided; ā remains.","āḥ + vowel or voiced consonant","visarga drops","āḥ + V/ghoṣa C → ā + V/ghoṣa C","devāḥ + gacchanti","devā gacchanti","stage3|sandhi|visarga|āḥ"
"1.0","SS2-071","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","rephādeśa","Rephādeśa (visarga → r): (i/ī/u/ū/ṛ/e/ai/o/au)ḥ + voiced sound.","→ r","non-(a/ā) vowel + ḥ + vowel or voiced consonant","visarga becomes r","V(non-a/ā) + ḥ + V/voiced C → V + r + V/voiced C","guruḥ + brahmā","gururbrahmā","stage3|sandhi|visarga|rephādeśa"
"1.0","SS2-072","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","sakārādeśa-palatal","Sakārādeśa: ḥ + palatal (c / ch / ś).","visarga → ś (via s → ś by śchutva)","ḥ + palatal c/ch/ś","visarga becomes ś","ḥ + palatal → ś + palatal","rāmaḥ + ca","rāmaśca","stage3|sandhi|visarga|palatal"
"1.0","SS2-073","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","sakārādeśa-cerebral","Sakārādeśa: ḥ + cerebral (ṭ / ṭh / ṣ).","visarga → ṣ (via s → ṣ by ṣṭutva)","ḥ + cerebral ṭ/ṭh/ṣ","visarga becomes ṣ","ḥ + cerebral → ṣ + cerebral","rāmaḥ + ṭīkate","rāmaṣṭīkate","stage3|sandhi|visarga|cerebral"
"1.0","SS2-074","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","rule","sakārādeśa-dental","Sakārādeśa: ḥ + dental (t / th / s).","visarga → s","ḥ + dental t/th/s","visarga becomes s","ḥ + dental → s + dental","namaḥ + te","namaste","stage3|sandhi|visarga|dental"
"1.0","SS2-075","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","definition","jihvāmūlīya","What is jihvāmūlīya and when does it apply?","A special pronunciation of visarga produced at the root of the tongue, occurring (optionally) before ka / kha. Written with the ardhavisarga sign; in modern practice the visarga is usually left as ḥ.","","","","","","stage3|sandhi|visarga|jihvāmūlīya"
"1.0","SS2-076","Sanskrit School - Stage 3","03-sandhi/theory.md","sandhi","visarga","definition","upadhmānīya","What is upadhmānīya and when does it apply?","A special labial-breath pronunciation of visarga, occurring (optionally) before pa / pha. Shares the ardhavisarga sign with jihvāmūlīya; in modern practice usually written as ḥ.","","","","","","stage3|sandhi|visarga|upadhmānīya"
